Date,AAPL,MSFT,AAL,WMT,MMM,AIG,GOOGL,AMD,BLK,KO,GE,GM,INTC,JNJ,JPM,CMCSA,MA,MCD,MRNA,PFE
2020-05-29,78.5044937133789,180.022705078125,10.5,120.27106475830078,146.06834411621094,28.325416564941406,1433.52001953125,53.79999923706055,505.951904296875,43.80440139770508,52.135074615478516,25.8799991607666,59.557701110839844,142.22647094726562,91.90950775146484,38.071533203125,297.8692932128906,179.02420043945312,61.5,33.88540267944336
2020-06-30,90.07498168945312,199.9259033203125,13.069999694824219,116.12177276611328,145.648193359375,29.681264877319336,1418.050048828125,52.61000061035156,524.2130737304688,42.30851745605469,54.279510498046875,25.299999237060547,56.62382888793945,134.46258544921875,88.83985900878906,37.69812774658203,292.7314147949219,177.2466583251953,64.20999908447266,29.014211654663086
2020-07-31,104.94921112060547,201.3994598388672,11.119999885559082,125.44795227050781,140.494140625,30.59511947631836,1487.949951171875,77.43000030517578,554.0036010742188,44.732635498046875,48.239627838134766,24.889999389648438,45.1722412109375,139.36758422851562,92.1661376953125,41.39250183105469,305.8404846191406,186.67250061035156,74.0999984741211,34.49462127685547
2020-08-31,127.677978515625,222.09368896484375,13.050000190734863,135.1627655029297,153.59756469726562,27.739320755004883,1629.530029296875,90.81999969482422,572.4827880859375,46.90108871459961,50.385379791259766,29.6299991607666,48.54717254638672,147.6583709716797,95.55178833007812,43.33640670776367,355.0675964355469,206.359375,64.88999938964844,33.87609100341797
2020-09-30,114.5876235961914,207.12525939941406,12.289999961853027,136.19461059570312,150.9217071533203,26.49983024597168,1465.5999755859375,81.98999786376953,546.223388671875,47.12800598144531,49.593013763427734,29.59000015258789,49.33803176879883,143.2982177734375,91.81326293945312,44.73872375488281,335.2220764160156,212.12918090820312,70.75,32.89897537231445
2020-10-30,107.71098327636719,199.38504028320312,11.279999732971191,135.06541442871094,150.7144317626953,30.311647415161133,1616.1099853515625,75.29000091552734,580.7870483398438,45.877498626708984,59.06584548950195,34.529998779296875,42.19173049926758,131.969482421875,94.36894989013672,41.057064056396484,286.45709228515625,205.85682678222656,67.47000122070312,31.80533790588379
2020-11-30,117.99666595458984,211.36019897460938,14.130000114440918,148.73257446289062,164.1541748046875,37.00157928466797,1754.4000244140625,92.66000366210938,676.8788452148438,49.6429557800293,81.03642272949219,43.84000015258789,46.404876708984375,140.22332763671875,113.46604919433594,48.83302307128906,333.9650573730469,211.39695739746094,152.74000549316406,36.58928680419922
2020-12-31,131.51596069335938,219.60447692871094,15.770000457763672,140.83493041992188,166.11190795898438,36.73934555053711,1752.6400146484375,91.70999908447266,702.9077758789062,52.76007080078125,86.05094146728516,41.63999938964844,47.815738677978516,152.53211975097656,122.31193542480469,50.93252944946289,354.2405090332031,208.61642456054688,104.47000122070312,35.15666580200195
2021-01-29,130.7924346923828,229.0237274169922,17.170000076293945,137.25909423828125,166.938720703125,36.33177185058594,1827.3599853515625,85.63999938964844,683.1514892578125,46.323814392089844,85.09481811523438,50.68000030517578,53.27682876586914,158.10501098632812,124.74398040771484,48.402183532714844,314.2958679199219,202.0637664794922,173.16000366210938,34.6605339050293
2021-02-26,120.36669921875,229.96685791015625,20.940000534057617,126.93219757080078,167.73944091796875,42.64908218383789,2021.9100341796875,84.51000213623047,676.5660400390625,47.1319465637207,99.91470336914062,51.33000183105469,58.68890380859375,154.5365447998047,142.6794891357422,51.47797393798828,351.6190490722656,201.64410400390625,154.80999755859375,32.333744049072266
